id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios
0,EnergyConnect,1,0,0,0,0,1,1,SNSW,CSA,0,0.8,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT,FIRM_ISP_ST,FIRM_UC_ST,FIRM_IS_ST,FIRM_CA_ST,FIRM_NG_ST"
1,N-Q-MNSP1_and_NSW1-QLD1,1,0,0,0,0,1,1,NNSW,SQ,0,3.07,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
2,V-S-MNSP1,1,0,0,0,0,1,1,VIC,CSA,0,0.22,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
3,V-SA,1,0,0,0,0,1,1,VIC,SESA,0,0.75,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT,FIRM_ISP_ST,FIRM_UC_ST,FIRM_IS_ST,FIRM_CA_ST,FIRM_NG_ST"
4,VIC1-NSW1,1,0,0,0,0,1,1,VIC,SNSW,0,2.935,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
5,T-V-MNSP1_and_Marinus1-2,1,0,0,0,0,1,1,TAS,VIC,0,2.094,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
6,CNSW-NNSW,1,0,0,0,0,1,1,CNSW,NNSW,0,7.025,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
7,CNSW-SNW,1,0,0,0,0,1,1,CNSW,SNW,0,12.7,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
8,CQ-GG,1,0,0,0,0,1,1,CQ,GG,0,3.65,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
9,CQ-NQ,1,0,0,0,0,1,1,CQ,NQ,0,2.5,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
10,SESA-CSA,1,0,0,0,0,1,1,SESA,CSA,0,0.75,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT,FIRM_ISP_ST,FIRM_UC_ST,FIRM_IS_ST,FIRM_CA_ST,FIRM_NG_ST"
11,SNSW-CNSW,1,0,0,0,0,1,1,SNSW,CNSW,0,5.15,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
12,SQ-CQ,1,0,0,0,0,1,1,SQ,CQ,0,5.25,0,0,hvac,"FIRM_ISP_WT,FIRM_UC_WT,FIRM_IS_WT,FIRM_CA_WT,FIRM_NG_WT"
13,N-Q-MNSP1_and_NSW1-QLD1,1,0,0,0,0,1,1,NNSW,SQ,0,1.995,0,0,hvac,"FIRM_ISP_ST,FIRM_UC_ST,FIRM_IS_ST,FIRM_CA_ST,FIRM_NG_ST"
14,V-S-MNSP1,1,0,0,0,0,1,1,VIC,CSA,0,0.1,0,0,hvac,"FIRM_ISP_ST,FIRM_UC_ST,FIRM_IS_ST,FIRM_CA_ST,FIRM_NG_ST"
15,VIC1-NSW1,1,0,0,0,0,1,1,VIC,SNSW,0,1.919,0,0,hvac,"FIRM_ISP_ST,FIRM_UC_ST,FIRM_IS_ST,FIRM_CA_ST,FIRM_NG_ST"
16,T-V-MNSP1_and_Marinus1-2,1,0,0,0,0,1,1,TAS,VIC,0,1.978,0,0,hvac,"FIRM_ISP_ST,FIRM_UC_ST,FIRM_IS_ST,FIRM_CA_ST,FIRM_NG_ST"
