id,name,initial_power_capacity,initial_energy_capacity,duration,capex_p,capex_e,fom,vom,lifetime,discount_rate,node,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,line,unit_type,scenarios
0,phes_qld,0,0,48,3382,0,0,0,40,0.05,QLD,0.8,1,50,0,0,0,phes_connection,phes,"nem,battery,gas,gas_hr"
1,phes_nsw,0,0,48,3382,0,0,0,40,0.05,NSW,0.8,1,50,0,0,0,phes_connection,phes,"nem,battery,gas,gas_hr"
2,phes_sa,0,0,48,3382,0,0,0,40,0.05,SA,0.8,1,50,0,0,0,phes_connection,phes,"nem,battery,gas,gas_hr"
3,phes_vic,0,0,48,3382,0,0,0,40,0.05,VIC,0.8,1,50,0,0,0,phes_connection,phes,"nem,battery,gas,gas_hr"
4,phes_tas,0,0,48,3382,0,0,0,40,0.05,TAS,0.8,1,50,0,0,0,phes_connection,phes,"nem,battery,gas,gas_hr"
5,bess_qld,0,0,4,1692,0,0,0,20,0.05,QLD,0.9,1,50,0,0,0,bess_connection,bess,"battery,gas,gas_hr"
6,bess_nsw,0,0,4,1692,0,0,0,20,0.05,NSW,0.9,1,50,0,0,0,bess_connection,bess,"battery,gas,gas_hr"
7,bess_sa,0,0,4,1692,0,0,0,20,0.05,SA,0.9,1,50,0,0,0,bess_connection,bess,"battery,gas,gas_hr"
8,bess_vic,0,0,4,1692,0,0,0,20,0.05,VIC,0.9,1,50,0,0,0,bess_connection,bess,"battery,gas,gas_hr"
9,bess_tas,0,0,4,1692,0,0,0,20,0.05,TAS,0.9,1,50,0,0,0,bess_connection,bess,"battery,gas,gas_hr"
