id,name,fuel,capex,fom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,node,max_build,min_build,initial_capacity,unit_type,scenarios
0,BLOWERNG,water,0,69.51,0,0,0,0,SNSW,0,0,0.08,flexible,
1,GUTHEGA1,water,0,69.51,0,0,0,0,SNSW,0,0,0.03,flexible,
2,GUTHEGA2,water,0,69.51,0,0,0,0,SNSW,0,0,0.03,flexible,
3,HUMENSW,water,0,69.51,0,0,0,0,SNSW,0,0,0.029,flexible,
4,TUMUT1_01,water,0,69.51,0,0,0,0,SNSW,0,0,0.082,flexible,
5,TUMUT1_02,water,0,69.51,0,0,0,0,SNSW,0,0,0.082,flexible,
6,TUMUT1_03,water,0,69.51,0,0,0,0,SNSW,0,0,0.082,flexible,
7,TUMUT1_04,water,0,69.51,0,0,0,0,SNSW,0,0,0.082,flexible,
8,TUMUT2_01,water,0,69.51,0,0,0,0,SNSW,0,0,0.072,flexible,
9,TUMUT2_02,water,0,69.51,0,0,0,0,SNSW,0,0,0.072,flexible,
10,TUMUT2_03,water,0,69.51,0,0,0,0,SNSW,0,0,0.072,flexible,
11,TUMUT2_04,water,0,69.51,0,0,0,0,SNSW,0,0,0.072,flexible,
12,TUMUT3_04,water,0,69.51,0,0,0,0,SNSW,0,0,0.25,flexible,
13,TUMUT3_05,water,0,69.51,0,0,0,0,SNSW,0,0,0.25,flexible,
14,TUMUT3_06,water,0,69.51,0,0,0,0,SNSW,0,0,0.25,flexible,
15,BARRON-1,water,0,69.51,0,0,0,0,NQ,0,0,0.035,flexible,
16,BARRON-2,water,0,69.51,0,0,0,0,NQ,0,0,0.035,flexible,
17,KAREEYA1,water,0,69.51,0,0,0,0,NQ,0,0,0.0216,flexible,
18,KAREEYA2,water,0,69.51,0,0,0,0,NQ,0,0,0.0216,flexible,
19,KAREEYA3,water,0,69.51,0,0,0,0,NQ,0,0,0.0216,flexible,
20,KAREEYA4,water,0,69.51,0,0,0,0,NQ,0,0,0.0216,flexible,
21,BOGONG1,water,0,69.51,0,0,0,0,VIC,0,0,0.07,flexible,
22,BOGONG2,water,0,69.51,0,0,0,0,VIC,0,0,0.07,flexible,
23,DARTM1,water,0,69.51,0,0,0,0,VIC,0,0,0.185,flexible,
24,EILDON1,water,0,69.51,0,0,0,0,VIC,0,0,0.0675,flexible,
25,EILDON2,water,0,69.51,0,0,0,0,VIC,0,0,0.0675,flexible,
26,HUMEV,water,0,69.51,0,0,0,0,VIC,0,0,0.029,flexible,
27,MCKAY11,water,0,69.51,0,0,0,0,VIC,0,0,0.02667,flexible,
28,MCKAY12,water,0,69.51,0,0,0,0,VIC,0,0,0.02667,flexible,
29,MCKAY13,water,0,69.51,0,0,0,0,VIC,0,0,0.02667,flexible,
30,MCKAY14,water,0,69.51,0,0,0,0,VIC,0,0,0.02667,flexible,
31,MCKAY15,water,0,69.51,0,0,0,0,VIC,0,0,0.02667,flexible,
32,MCKAY16,water,0,69.51,0,0,0,0,VIC,0,0,0.02667,flexible,
33,MURRAY01,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
34,MURRAY02,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
35,MURRAY03,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
36,MURRAY04,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
37,MURRAY05,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
38,MURRAY06,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
39,MURRAY07,water,0,69.51,0,0,0,0,VIC,0,0,0.095,flexible,
