id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios
0,EnergyConnect,1,0,0,0,0,0,0,SNSW,CSA,0,0.8,0,0,hvac,
1,N-Q-MNSP1,1,0,0,0,0,0,0,NNSW,SQ,0,0.2,0,0,hvac,
2,NSW1-QLD1,1,0,0,0,0,0,0,NNSW,SQ,0,2.87,0,0,hvac,
3,V-S-MNSP1,1,0,0,0,0,0,0,VIC,CSA,0,0.22,0,0,hvac,
4,V-SA,1,0,0,0,0,0,0,VIC,SESA,0,0.75,0,0,hvac,
5,VIC1-NSW1,1,0,0,0,0,0,0,VIC,SNSW,0,2.935,0,0,hvac,
6,T-V-MNSP1,1,0,0,0,0,0,0,TAS,VIC,0,0.594,0,0,hvac,
7,CNSW-NNSW,1,0,0,0,0,0,0,CNSW,NNSW,0,7.025,0,0,hvac,
8,CNSW-SNW,1,0,0,0,0,0,0,CNSW,SNW,0,12.7,0,0,hvac,
9,CQ-GG,1,0,0,0,0,0,0,CQ,GG,0,3.65,0,0,hvac,
10,CQ-NQ,1,0,0,0,0,0,0,CQ,NQ,0,2.5,0,0,hvac,
11,SESA-CSA,1,0,0,0,0,0,0,SESA,CSA,0,0.75,0,0,hvac,
12,SNSW-CNSW,1,0,0,0,0,0,0,SNSW,CNSW,0,5.15,0,0,hvac,
13,SQ-CQ,1,0,0,0,0,0,0,SQ,CQ,0,5.25,0,0,hvac,
14,Marinus_1,1,0,0,0,0,0,0,TAS,VIC,0,0.75,0,0,hvac,
15,Marinus_2,1,0,0,0,0,0,0,TAS,VIC,0,0.75,0,0,hvac,
