id,name,initial_power_capacity,initial_energy_capacity,duration,capex_p,capex_e,fom,vom,lifetime,discount_rate,node,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,unit_type,scenarios
0,CNSW Distributed Storage,0.777803779,1.913100995,0,0,0,0,0,0,0,CNSW,1,1,0,0,0,0,,
1,CQ Distributed Storage,0.903909024,2.213101981,0,0,0,0,0,0,0,CQ,1,1,0,0,0,0,,
2,CSA Distributed Storage,2.604373858,6.335783463,0,0,0,0,0,0,0,CSA,1,1,0,0,0,0,,
3,GG Distributed Storage,0.060106805,0.147163581,0,0,0,0,0,0,0,GG,1,1,0,0,0,0,,
4,NNSW Distributed Storage,1.48712223,3.657754172,0,0,0,0,0,0,0,NNSW,1,1,0,0,0,0,,
5,NQ Distributed Storage,0.882898093,2.161659489,0,0,0,0,0,0,0,NQ,1,1,0,0,0,0,,
6,SESA Distributed Storage,0.098417142,0.239424037,0,0,0,0,0,0,0,SESA,1,1,0,0,0,0,,
7,SNSW Distributed Storage,1.504124182,3.699572497,0,0,0,0,0,0,0,SNSW,1,1,0,0,0,0,,
8,SNW Distributed Storage,6.551237808,16.11354934,0,0,0,0,0,0,0,SNW,1,1,0,0,0,0,,
9,SQ Distributed Storage,5.237683086,12.82377597,0,0,0,0,0,0,0,SQ,1,1,0,0,0,0,,
10,TAS Distributed Storage,0.571153,1.3985321,0,0,0,0,0,0,0,TAS,1,1,0,0,0,0,,
11,VIC Distributed Storage,7.5496025,18.366092,0,0,0,0,0,0,0,VIC,1,1,0,0,0,0,,
12,CNSW V2G,0.291496941,1.441903769,0,0,0,0,0,0,0,CNSW,0.836660027,0.836660027,0,0,0,0,,
13,CQ V2G,0.322580765,1.599741251,0,0,0,0,0,0,0,CQ,0.836660027,0.836660027,0,0,0,0,,
14,CSA V2G,0.712269317,3.504307827,0,0,0,0,0,0,0,CSA,0.836660027,0.836660027,0,0,0,0,,
15,GG V2G,0.031068195,0.154073268,0,0,0,0,0,0,0,GG,0.836660027,0.836660027,0,0,0,0,,
16,NNSW V2G,0.42485098,2.101545998,0,0,0,0,0,0,0,NNSW,0.836660027,0.836660027,0,0,0,0,,
17,NQ V2G,0.271570734,1.34677251,0,0,0,0,0,0,0,NQ,0.836660027,0.836660027,0,0,0,0,,
18,SESA V2G,0.036983994,0.181958278,0,0,0,0,0,0,0,SESA,0.836660027,0.836660027,0,0,0,0,,
19,SNSW V2G,0.444081419,2.1966703,0,0,0,0,0,0,0,SNSW,0.836660027,0.836660027,0,0,0,0,,
20,SNW V2G,2.651805852,13.1172864,0,0,0,0,0,0,0,SNW,0.836660027,0.836660027,0,0,0,0,,
21,SQ V2G,2.109978861,10.46379881,0,0,0,0,0,0,0,SQ,0.836660027,0.836660027,0,0,0,0,,
22,TAS V2G,0.244893951,1.198534535,0,0,0,0,0,0,0,TAS,0.836660027,0.836660027,0,0,0,0,,
23,VIC V2G,3.226984257,15.88889798,0,0,0,0,0,0,0,VIC,0.836660027,0.836660027,0,0,0,0,,
24,QBYNBG1,0.01,0.02,0,0,0,10.8,0,0,0,SNSW,0.916515,0.916515,0,0,0,0,,
