id,name,initial_power_capacity,initial_energy_capacity,duration,capex_p,capex_e,fom,vom,lifetime,discount_rate,node,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,unit_type,scenarios
0,phes_KH,0,0,0,646,57,0,0,60,0.05,KH,0.8,1,50,500,0,0,phes,mekong
1,phes_LAN,0,0,0,646,57,0,0,60,0.05,LAN,0.8,1,50,500,0,0,phes,mekong
2,phes_LAS,0,0,0,646,57,0,0,60,0.05,LAS,0.8,1,50,500,0,0,phes,mekong
3,phes_VH,0,0,0,646,57,0,0,60,0.05,VH,0.8,1,50,500,0,0,phes,mekong
4,phes_VS,0,0,0,646,57,0,0,60,0.05,VS,0.8,1,50,500,0,0,phes,mekong
5,phes_CACE,0,0,0,646,57,0,0,60,0.05,CACE,0.8,1,50,500,0,0,phes,mekong
6,phes_CACW,0,0,0,646,57,0,0,60,0.05,CACW,0.8,1,50,500,0,0,phes,mekong
7,phes_CACN,0,0,0,646,57,0,0,60,0.05,CACN,0.8,1,50,500,0,0,phes,mekong
8,phes_MAC,0,0,0,646,57,0,0,60,0.05,MAC,0.8,1,50,500,0,0,phes,mekong
9,phes_NAC,0,0,0,646,57,0,0,60,0.05,NAC,0.8,1,50,500,0,0,phes,mekong
10,phes_NEC,0,0,0,646,57,0,0,60,0.05,NEC,0.8,1,50,500,0,0,phes,mekong
11,phes_SAC,0,0,0,646,57,0,0,60,0.05,SAC,0.8,1,50,500,0,0,phes,mekong
12,phes_TH,0,0,0,646,57,0,0,60,0.05,TH,0.8,1,50,500,0,0,phes,mekong
13,bess_KH,0,0,0,62.5,290.5,0,0,20,0.05,KH,0.9,1,50,500,0,0,bess,mekong
14,bess_LAN,0,0,0,62.5,290.5,0,0,20,0.05,LAN,0.9,1,50,500,0,0,bess,mekong
15,bess_LAS,0,0,0,62.5,290.5,0,0,20,0.05,LAS,0.9,1,50,500,0,0,bess,mekong
16,bess_VH,0,0,0,62.5,290.5,0,0,20,0.05,VH,0.9,1,50,500,0,0,bess,mekong
17,bess_VS,0,0,0,62.5,290.5,0,0,20,0.05,VS,0.9,1,50,500,0,0,bess,mekong
18,bess_CACE,0,0,0,62.5,290.5,0,0,20,0.05,CACE,0.9,1,50,500,0,0,bess,mekong
19,bess_CACW,0,0,0,62.5,290.5,0,0,20,0.05,CACW,0.9,1,50,500,0,0,bess,mekong
20,bess_CACN,0,0,0,62.5,290.5,0,0,20,0.05,CACN,0.9,1,50,500,0,0,bess,mekong
21,bess_MAC,0,0,0,62.5,290.5,0,0,20,0.05,MAC,0.9,1,50,500,0,0,bess,mekong
22,bess_NAC,0,0,0,62.5,290.5,0,0,20,0.05,NAC,0.9,1,50,500,0,0,bess,mekong
23,bess_NEC,0,0,0,62.5,290.5,0,0,20,0.05,NEC,0.9,1,50,500,0,0,bess,mekong
24,bess_SAC,0,0,0,62.5,290.5,0,0,20,0.05,SAC,0.9,1,50,500,0,0,bess,mekong
25,bess_TH,0,0,0,62.5,290.5,0,0,20,0.05,TH,0.9,1,50,500,0,0,bess,mekong
